Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2014,Jan-Feb,2.71,-5.2,2.71,-5.2,102707.57,,
2014,Mar-Apr,0.28,-4.35,2.99,-5.2,102990.12,,
2014,May-Jun,5.21,-1.12,8.36,-5.2,108358.61,,
2014,Jul-Aug,3.97,-3.47,12.66,-5.2,112660.58,,
2014,Sep-Oct,0.62,-8.35,13.36,-8.35,113359.64,,
2014,Nov-Dec,1.98,-6.27,15.61,-8.35,115607.27,,
2015,Jan-Feb,4.41,-3.76,20.71,-8.35,120705.53,,
2015,Mar-Apr,-1.18,-4.24,19.28,-8.35,119276.89,,
2015,May-Jun,-2.77,-5.53,15.97,-8.35,115971.43,,
2015,Jul-Aug,-2.84,-13.68,12.68,-13.68,112681.97,,
2015,Sep-Oct,8.5,-5.65,22.26,-13.68,122261.19,,
2015,Nov-Dec,-2.76,-5.39,18.88,-13.68,118883.91,,
2016,Jan-Feb,-3.08,-8.37,15.23,-13.68,115227.68,,
2016,Mar-Apr,2.82,-5.76,18.48,-13.68,118479.08,,
2016,May-Jun,2.94,-6.48,21.97,-13.68,121966.24,,
2016,Jul-Aug,8.34,-0.87,32.13,-13.68,132134.33,,
2016,Sep-Oct,0.92,-3.25,33.34,-13.68,133343.47,,
2016,Nov-Dec,2.87,-3.23,37.17,-13.68,137165.8,,
2017,Jan-Feb,7.28,-1.31,47.15,-13.68,147145.89,,
2017,Mar-Apr,3.86,-1.99,52.83,-13.68,152829.16,,
2017,May-Jun,-0.15,-4.74,52.6,-13.68,152603.7,,
2017,Jul-Aug,7.48,-2.16,64.02,-13.68,164018.85,,
2017,Sep-Oct,7.09,-2.07,75.65,-13.68,175646.03,,
2017,Nov-Dec,1.55,-3.44,78.36,-13.68,178364.01,,
2018,Jan-Feb,5.29,-10.39,87.8,-13.68,187796.18,,
2018,Mar-Apr,-3.98,-9.71,80.32,-13.68,180321.14,,
2018,May-Jun,4.79,-5.15,88.96,-13.68,188956.07,,
2018,Jul-Aug,7.86,-4.73,103.8,-13.68,203800.53,,
2018,Sep-Oct,-7.98,-11.84,87.54,-13.68,187536.54,,
2018,Nov-Dec,-10.57,-19.0,67.72,-19.0,167718.36,,
2019,Jan-Feb,14.24,-5.05,91.61,-19.0,191605.33,,
2019,Mar-Apr,10.3,-2.81,111.35,-19.0,211348.48,,
2019,May-Jun,-0.66,-10.44,109.95,-19.0,209950.65,,
2019,Jul-Aug,1.91,-8.46,113.96,-19.0,213959.19,,
2019,Sep-Oct,6.47,-4.28,127.81,-19.0,227809.44,,
2019,Nov-Dec,8.26,-2.59,146.63,-19.0,246631.32,,
2020,Jan-Feb,-5.4,-14.68,133.32,-19.0,233317.63,,
2020,Mar-Apr,3.4,-24.96,141.26,-24.96,241260.69,,
2020,May-Jun,17.5,-5.74,183.48,-24.96,283479.45,,
2020,Jul-Aug,18.03,-3.98,234.59,-24.96,334586.23,,
2020,Sep-Oct,-10.28,-12.89,200.19,-24.96,300188.41,,
2020,Nov-Dec,16.96,-2.57,251.09,-24.96,351087.89,,
2021,Jan-Feb,2.18,-6.2,258.75,-24.96,358746.49,,
2021,Mar-Apr,6.89,-5.22,283.48,-24.96,383479.11,,
2021,May-Jun,5.68,-6.02,305.25,-24.96,405248.04,,
2021,Jul-Aug,7.37,-3.16,335.12,-24.96,435124.25,,
2021,Sep-Oct,1.65,-7.13,342.3,-24.96,442299.47,,
2021,Nov-Dec,7.59,-5.33,375.89,-24.96,475885.7,,
2022,Jan-Feb,-12.23,-16.12,317.68,-24.96,417681.34,,
2022,Mar-Apr,-8.23,-14.5,283.29,-24.96,383290.59,,
2022,May-Jun,-10.12,-17.05,244.52,-24.96,344515.92,,
2022,Jul-Aug,6.39,-10.75,266.53,-24.96,366525.62,,
2022,Sep-Oct,-5.01,-16.39,248.16,-24.96,348162.41,,
2022,Nov-Dec,-1.93,-10.84,241.45,-24.96,341446.85,,
2023,Jan-Feb,10.73,-5.56,278.09,-24.96,378093.23,,
2023,Mar-Apr,11.27,-4.67,320.71,-24.96,420710.62,,
2023,May-Jun,15.25,-4.12,384.88,-24.96,484881.61,,
2023,Jul-Aug,1.25,-8.63,390.92,-24.96,490921.99,,
2023,Sep-Oct,-6.92,-9.41,356.96,-24.96,456958.66,,
2023,Nov-Dec,15.12,-1.51,426.06,-24.96,526064.14,,
2024,Jan-Feb,10.41,-4.13,480.85,-24.96,580848.96,,
2024,Mar-Apr,-6.88,-8.77,440.86,-24.96,540860.43,,
2024,May-Jun,15.24,-3.88,523.27,-24.96,623274.6,,
2024,Jul-Aug,-2.61,-16.97,507.02,-24.96,607019.81,,
2024,Sep-Oct,5.72,-4.95,541.76,-24.96,641758.64,,
2014,,,,,,,12.56,-8.35
2015,,,,,,,-1.51,-13.68
2016,,,,,,,19.04,-8.37
2017,,,,,,,21.22,-4.74
2018,,,,,,,-10.69,-19.0
2019,,,,,,,28.72,-10.44
2020,,,,,,,50.48,-24.96
2021,,,,,,,32.65,-7.13
2022,,,,,,,-18.25,-17.05
2023,,,,,,,39.14,-9.41
2024,,,,,,,10.49,-16.97
Final Portfolio Value,"$641,758.64",,,,,,,
Cumulative Max Drawdown,-24.96%,,,,,,,
