Year,Period,Profit %,Drawdown %,Cum Profit $,Max. Cum Drawdown %,Portfolio $,CAGR %,Max DD %
2013,Jan-Feb,0.98,-2.1,976.16,-2.1,100976.16,,
2013,Mar-Apr,1.88,-2.39,2876.32,-2.39,102876.32,,
2013,May-Jun,0.16,-1.73,3039.78,-2.39,103039.78,,
2013,Jul-Aug,-0.4,-1.79,2627.77,-2.39,102627.77,,
2013,Sep-Oct,1.39,-1.6,4049.75,-2.39,104049.75,,
2013,Nov-Dec,0.24,-0.67,4300.79,-2.39,104300.79,,
2014,Jan-Feb,-0.77,-3.73,3493.25,-3.73,103493.25,,
2014,Mar-Apr,-0.26,-4.89,3218.07,-4.89,103218.07,,
2014,May-Jun,5.09,-1.12,8474.26,-4.89,108474.26,,
2014,Jul-Aug,5.52,-1.64,14454.85,-4.89,114454.85,,
2014,Sep-Oct,0.71,-1.11,15267.14,-4.89,115267.14,,
2014,Nov-Dec,0.44,-0.0,15767.56,-4.89,115767.56,,
2015,Jan-Feb,1.55,-1.21,17555.73,-4.89,117555.73,,
2015,Mar-Apr,-0.28,-0.28,17219.28,-4.89,117219.28,,
2015,May-Jun,0.09,-0.0,17327.64,-4.89,117327.64,,
2015,Jul-Aug,-3.39,-3.82,13348.13,-4.89,113348.13,,
2015,Sep-Oct,1.0,-0.0,14474.89,-4.89,114474.89,,
2015,Nov-Dec,0.77,-0.0,15352.5,-4.89,115352.5,,
2016,Jan-Feb,8.73,-2.1,25421.8,-4.89,125421.8,,
2013,,,,,,,4.3,-2.39
2014,,,,,,,10.99,-5.66
2015,,,,,,,-0.36,-4.01
2016,,,,,,,8.73,-2.1
Cumulative CAGR,5.83%,,,,,,,
Final Portfolio Value,"$125,421.80",,,,,,,
Symbol,XLK,,,,,,,
Series CSV,"SPY,DGS2,DGS10,DGS30,DGS1MO,DGS3MO,DGS6MO,EFFR,VIXCLS,WALCL,WLTLECL,T10YIE,EXPINF1YR,FEDFUNDS,REAINTRATREARAT10Y,CORESTICKM159SFRBATL,M2SL",,,,,,,
